Date,CPI_USA_Index,CPI_Japan_Index,USA_WageH_Dollar,Japan_WageH_Dollar,USA_GDP_Dollar_Capita,Japan_GDP_Dollar_Capita
2012-12-01,231.221,96.7167218121659,96.11456,97.18415,54844.2425797154,34239.8862473683
2013-01-01,231.679,96.5131076609824,96.31552,98.77897,54844.2425797154,34239.8862473683
2013-02-01,232.937,96.2076864342072,96.56674,98.67929,54844.2425797154,34239.8862473683
2013-03-01,232.282,96.5131076609824,96.51649,97.58286,54844.2425797154,34239.8862473683
2013-04-01,231.797,96.8185288877577,96.61698,98.47994,54844.2425797154,34239.8862473683
2013-05-01,231.893,96.9203359633494,96.66723,98.57961,54844.2425797154,34239.8862473683
2013-06-01,232.445,96.8185288877577,96.86819,98.08124,54844.2425797154,34239.8862473683
2013-07-01,232.9,97.0221430389412,96.81796,96.18739,54844.2425797154,34239.8862473683
2013-08-01,233.456,97.2257571901247,97.06917,97.98156,55817.5632471958,34386.905855287
2013-09-01,233.544,97.4293713413082,97.16965,98.08124,55817.5632471958,34386.905855287
2013-10-01,233.669,97.6329854924917,97.27014,98.87865,55817.5632471958,34386.905855287
2013-11-01,234.1,97.6329854924917,97.47111,98.38026,55817.5632471958,34386.905855287
2013-12-01,234.719,97.6329854924917,97.77257,98.18092,55817.5632471958,34386.905855287
2014-01-01,235.288,97.2257571901247,97.72233,99.27735,55817.5632471958,34386.905855287
2014-02-01,235.547,97.3275642657165,97.92329,98.87865,55817.5632471958,34386.905855287
2014-03-01,236.028,97.7347925680835,98.12427,99.37702,55817.5632471958,34386.905855287
2014-04-01,236.468,99.6691270043268,97.92329,99.8754,55817.5632471958,34386.905855287
2014-05-01,236.918,99.9745482311021,98.07403,99.67606,55817.5632471958,34386.905855287
2014-06-01,237.231,99.7709340799186,98.22475,101.4702,55817.5632471958,34386.905855287
2014-07-01,237.498,99.7709340799186,98.42573,100.6728,55817.5632471958,34386.905855287
2014-08-01,237.46,99.9745482311021,98.52621,100.5731,57040.2082136605,34960.6393843385
2014-09-01,237.477,100.178162382286,98.47597,99.37702,57040.2082136605,34960.6393843385
2014-10-01,237.43,100.076355306694,98.72718,99.17767,57040.2082136605,34960.6393843385
2014-11-01,236.983,99.6691270043268,98.67694,98.77897,57040.2082136605,34960.6393843385
2014-12-01,236.252,99.7709340799186,98.62669,99.77573,57040.2082136605,34960.6393843385
2015-01-01,234.747,99.567319928735,98.67694,99.4767,57040.2082136605,34960.6393843385
2015-02-01,235.342,99.4655128531433,99.12913,99.17767,57040.2082136605,34960.6393843385
2015-03-01,235.976,99.8727411555103,99.33009,99.77573,57040.2082136605,34960.6393843385
2015-04-01,236.222,100.381776533469,99.48083,99.77573,57040.2082136605,34960.6393843385
2015-05-01,237.001,100.483583609061,99.73204,100.0748,57040.2082136605,34960.6393843385
2015-06-01,237.657,100.178162382286,100.0335,98.97832,57040.2082136605,34960.6393843385
2015-07-01,238.034,99.9745482311021,100.1842,101.2709,57040.2082136605,34960.6393843385
2015-08-01,238.033,100.076355306694,100.3852,99.67606,57658.6708825722,35242.1993771881
2015-09-01,237.498,100.178162382286,100.8374,100.4735,57658.6708825722,35242.1993771881
